SimUID,CROP,YR,ROT,FER,IRR,WTH,TIL,YLD_DM,FTN
52338,WWHT,2094,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.348,180.4
52338,SGBT,2099,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.257,150.2
52338,SBAR,2096,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.036,123.5
52338,WWHT,2097,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.108,180.4
52338,WWHT,2098,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.535,180.4
52338,SBAR,2100,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.821,123.5
52339,SBAR,2020,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.038,123.5
52339,SBAR,2056,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.706,123.5
52339,WWHT,2057,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.072,180.4
52339,WWHT,2058,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.739,180.4
52339,SGBT,2059,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.708,150.2
52339,SBAR,2060,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.238,123.5
52339,WWHT,2021,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,4.422,180.4
52339,WWHT,2022,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.535,180.4
52339,SGBT,2023,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.59,150.2
52339,SBAR,2024,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.744,123.5
52339,WWHT,2025,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.524,180.4
52339,WWHT,2026,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.441,180.4
52339,SGBT,2027,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.764,150.2
52339,SBAR,2028,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.346,123.5
52339,WWHT,2029,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.821,180.4
52339,WWHT,2030,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.329,180.4
52339,SGBT,2031,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.346,150.2
52339,SBAR,2032,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.19,123.5
52339,WWHT,2033,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.287,180.4
52339,WWHT,2034,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.663,180.4
52339,SGBT,2035,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,12.097,150.2
52339,SBAR,2036,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.009,123.5
52339,WWHT,2037,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.322,180.4
52339,WWHT,2038,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.93,180.4
52339,SGBT,2039,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.534,150.2
52339,SBAR,2040,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.793,123.5
52339,WWHT,2041,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.675,180.4
52339,WWHT,2042,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.574,180.4
52339,SGBT,2043,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.189,150.2
52339,SBAR,2044,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.389,123.5
52339,WWHT,2045,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.103,180.4
52339,WWHT,2046,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.94,180.4
52339,SGBT,2047,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.312,150.2
52339,SBAR,2048,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.893,123.5
52339,WWHT,2049,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.509,180.4
52339,WWHT,2050,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.971,180.4
52339,SGBT,2051,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.723,150.2
52339,SBAR,2052,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.989,123.5
52339,WWHT,2053,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.203,180.4
52339,WWHT,2054,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.875,180.4
52339,SGBT,2055,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.171,150.2
52339,SBAR,2096,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.91,123.5
52339,WWHT,2097,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.851,180.4
52339,WWHT,2098,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.045,180.4
52339,SGBT,2099,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.697,150.2
52339,SBAR,2100,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.069,123.5
52339,WWHT,2061,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.741,180.4
52339,WWHT,2062,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.82,180.4
52339,SGBT,2063,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.33,150.2
52339,SBAR,2064,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.954,123.5
52339,WWHT,2065,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.325,180.4
52339,WWHT,2066,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.835,180.4
52339,SGBT,2067,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.224,150.2
52339,SBAR,2068,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.903,123.5
52339,WWHT,2069,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.728,180.4
52339,WWHT,2070,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.387,180.4
52339,SGBT,2071,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.977,150.2
52339,SBAR,2072,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.867,123.5
52339,WWHT,2073,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.437,180.4
52339,WWHT,2074,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.83,180.4
52339,SGBT,2075,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,11.395,150.2
52339,SBAR,2076,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.844,123.5
52339,WWHT,2077,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.969,180.4
52339,WWHT,2078,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.285,180.4
52339,SGBT,2079,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.576,150.2
52339,SBAR,2080,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.608,123.5
52339,WWHT,2081,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.331,180.4
52339,WWHT,2082,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.293,180.4
52339,SGBT,2083,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.492,150.2
52339,SBAR,2084,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.288,123.5
52339,WWHT,2085,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.266,180.4
52339,WWHT,2086,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.171,180.4
52339,SGBT,2087,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.268,150.2
52339,SBAR,2088,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.003,123.5
52339,WWHT,2089,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.335,180.4
52339,WWHT,2090,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.16,180.4
52339,SGBT,2091,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.525,150.2
52339,SBAR,2092,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.565,123.5
52339,WWHT,2093,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.498,180.4
52339,WWHT,2094,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.319,180.4
52339,SGBT,2095,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,10.882,150.2
52339,SGBT,2015,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,10.864,150.2
52339,SBAR,2016,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.307,123.5
52339,WWHT,2017,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.66,180.4
52339,WWHT,2018,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.42,180.4
52339,SGBT,2019,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.042,150.2
52338,SGBT,2015,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.917,150.2
52338,SBAR,2016,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.134,123.5
52338,WWHT,2017,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.136,180.4
52338,WWHT,2018,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.613,180.4
52338,SGBT,2019,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,10.387,150.2
52338,SBAR,2020,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.245,123.5
52338,WWHT,2021,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.259,180.4
52338,WWHT,2022,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.133,180.4
52338,SGBT,2023,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,10.932,150.2
52338,SBAR,2024,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,4.985,123.5
52338,WWHT,2025,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.241,180.4
52338,WWHT,2026,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.621,180.4
52338,SGBT,2027,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.73,150.2
52338,SBAR,2028,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.781,123.5
52338,WWHT,2029,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.763,180.4
52338,WWHT,2030,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.027,180.4
52338,SGBT,2031,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,11.507,150.2
52338,SBAR,2032,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.894,123.5
52338,WWHT,2033,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.602,180.4
52338,WWHT,2034,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.811,180.4
52338,SGBT,2035,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.212,150.2
52338,SBAR,2036,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.192,123.5
52338,WWHT,2037,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.371,180.4
52338,WWHT,2038,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.719,180.4
52338,SGBT,2039,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.175,150.2
52338,SBAR,2040,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.362,123.5
52338,WWHT,2041,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.215,180.4
52338,WWHT,2042,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.575,180.4
52338,SGBT,2043,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,9.439,150.2
52338,SBAR,2044,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.523,123.5
52338,WWHT,2045,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.294,180.4
52338,WWHT,2046,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.721,180.4
52338,SGBT,2047,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,9.034,150.2
52338,SBAR,2048,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.975,123.5
52338,WWHT,2049,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.777,180.4
52338,WWHT,2050,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.089,180.4
52338,SGBT,2051,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,12.105,150.2
52338,SBAR,2052,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.405,123.5
52338,WWHT,2053,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.825,180.4
52338,WWHT,2054,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.885,180.4
52338,SGBT,2055,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.827,150.2
52338,SBAR,2056,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.889,123.5
52338,WWHT,2057,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.193,180.4
52338,WWHT,2058,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.131,180.4
52338,SGBT,2059,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,11.69,150.2
52338,SBAR,2060,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.072,123.5
52338,WWHT,2061,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.48,180.4
